goid,definition,ontology,term,number_of_transctipts,transcripts_id
GO:0002526,"Inflammation which comprises a rapid, short-lived, relatively uniform response to acute injury or antigenic challenge and is characterized by accumulations of fluid, plasma proteins, and granulocytic leukocytes. An acute inflammatory response occurs within a matter of minutes or hours, and either resolves within a few days or becomes a chronic inflammatory response.",BP,acute inflammatory response,1,TRINITY_DN26414_c1_g1_i1
GO:0002576,The regulated exocytosis of secretory granules containing preformed mediators such as histamine and serotonin by a platelet.,BP,platelet degranulation,2,"TRINITY_DN38610_c6_g3_i6,TRINITY_DN30376_c1_g2_i10"
GO:0002675,"Any process that activates or increases the frequency, rate, or extent of an acute inflammatory response.",BP,positive regulation of acute inflammatory response,1,TRINITY_DN32606_c0_g1_i2
GO:0002679,"A phase of elevated metabolic activity, during which oxygen consumption increases made as part of a defense response ; this leads to the production, by an NADH dependent system, of hydrogen peroxide (H2O2), superoxide anions and hydroxyl radicals.",BP,respiratory burst involved in defense response,1,TRINITY_DN26161_c0_g1_i2
GO:0002687,"Any process that activates or increases the frequency, rate, or extent of leukocyte migration.",BP,positive regulation of leukocyte migration,1,TRINITY_DN30738_c0_g1_i2
GO:0003384,"The actin-mediated process that results in the contraction of the apical end of a polarized columnar epithelial cell, contributing to the process of gastrulation.",BP,apical constriction involved in gastrulation,1,TRINITY_DN33835_c3_g3_i1
GO:0003676,Interacting selectively and non-covalently with any nucleic acid.,MF,nucleic acid binding,3,"TRINITY_DN32024_c2_g1_i1,TRINITY_DN30589_c3_g3_i1,TRINITY_DN30077_c4_g1_i2"
GO:0003677,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,MF,DNA binding,8,"TRINITY_DN31468_c4_g7_i1,TRINITY_DN39023_c0_g1_i7,TRINITY_DN25629_c0_g1_i1,TRINITY_DN20935_c0_g1_i1,TRINITY_DN35338_c5_g1_i5,TRINITY_DN26414_c1_g1_i1,TRINITY_DN39709_c5_g1_i1,TRINITY_DN32325_c0_g2_i1"
GO:0003682,"Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase.",MF,chromatin binding,1,TRINITY_DN26414_c1_g1_i1
GO:0003690,Interacting selectively and non-covalently with double-stranded DNA.,MF,double-stranded DNA binding,1,TRINITY_DN39482_c3_g2_i3
GO:0003700,Interacting selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene in order to modulate transcription.,MF,DNA binding transcription factor activity,1,TRINITY_DN25629_c0_g1_i1
GO:0003723,Interacting selectively and non-covalently with an RNA molecule or a portion thereof.,MF,RNA binding,8,"TRINITY_DN31468_c4_g7_i1,TRINITY_DN31840_c4_g2_i1,TRINITY_DN25694_c0_g1_i1,TRINITY_DN39709_c5_g1_i1,TRINITY_DN26658_c0_g1_i10,TRINITY_DN26658_c0_g1_i7,TRINITY_DN26658_c0_g1_i1,TRINITY_DN26658_c0_g1_i8"
GO:0003730,Interacting selectively and non-covalently with the 3' untranslated region of an mRNA molecule.,MF,mRNA 3'-UTR binding,1,TRINITY_DN25694_c0_g1_i2
GO:0003743,Functions in the initiation of ribosome-mediated translation of mRNA into a polypeptide.,MF,translation initiation factor activity,2,"TRINITY_DN29260_c4_g2_i5,TRINITY_DN39061_c3_g1_i8"
GO:0003774,"Catalysis of the generation of force resulting either in movement along a microfilament or microtubule, or in torque resulting in membrane scission, coupled to the hydrolysis of a nucleoside triphosphate.",MF,motor activity,1,TRINITY_DN34019_c0_g3_i1
GO:0003777,"Catalysis of movement along a microtubule, coupled to the hydrolysis of a nucleoside triphosphate (usually ATP).",MF,microtubule motor activity,2,"TRINITY_DN27982_c1_g2_i1,TRINITY_DN29538_c0_g1_i1"
GO:0003779,"Interacting selectively and non-covalently with monomeric or multimeric forms of actin, including actin filaments.",MF,actin binding,1,TRINITY_DN29538_c0_g1_i2
GO:0003823,"Interacting selectively and non-covalently with an antigen, any substance which is capable of inducing a specific immune response and of reacting with the products of that response, the specific antibody or specifically sensitized T-lymphocytes, or both. Binding may counteract the biological activity of the antigen.",MF,antigen binding,2,"TRINITY_DN26259_c0_g1_i3,TRINITY_DN37845_c1_g1_i5"
GO:0003836,Catalysis of the reaction: CMP-N-acetylneuraminate + beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl-R = CMP + alpha-N-acetylneuraminyl-(2->3)-beta-D-galactosyl-(1->3)-N-acetyl-alpha-D-galactosaminyl-R.,MF,"beta-galactoside (CMP) alpha-2,3-sialyltransferase activity",1,TRINITY_DN33417_c0_g1_i7
GO:0003854,Catalysis of the reaction: a 3-beta-hydroxy-delta(5)-steroid + NAD+ = a 3-oxo-delta(5)-steroid + NADH + H(+).,MF,3-beta-hydroxy-delta5-steroid dehydrogenase activity,2,"TRINITY_DN35906_c1_g4_i4,TRINITY_DN35906_c1_g4_i1"
GO:0003870,Catalysis of the reaction: glycine + H(+) + succinyl-CoA = 5-aminolevulinate + CO(2) + CoA.,MF,5-aminolevulinate synthase activity,2,"TRINITY_DN39515_c2_g5_i2,TRINITY_DN29658_c5_g4_i2"
GO:0003878,Catalysis of the reaction: acetyl-CoA + ADP + H(+) + oxaloacetate + phosphate = ATP + citrate + CoA.,MF,ATP citrate synthase activity,1,TRINITY_DN30826_c0_g4_i2
GO:0003887,Catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1); the synthesis of DNA from deoxyribonucleotide triphosphates in the presence of a DNA template and a 3'hydroxyl group.,MF,DNA-directed DNA polymerase activity,2,"TRINITY_DN31468_c4_g7_i1,TRINITY_DN39709_c5_g1_i1"
GO:0003899,"Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template, i.e. the catalysis of DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain 'de novo'.",MF,DNA-directed 5'-3' RNA polymerase activity,1,TRINITY_DN35338_c5_g1_i5
GO:0003916,"Catalysis of the transient cleavage and passage of individual DNA strands or double helices through one another, resulting a topological transformation in double-stranded DNA.",MF,DNA topoisomerase activity,1,TRINITY_DN39023_c0_g1_i7
GO:0003918,"Catalysis of a DNA topological transformation by transiently cleaving a pair of complementary DNA strands to form a gate through which a second double-stranded DNA segment is passed, after which the severed strands in the first DNA segment are rejoined; product release is coupled to ATP binding and hydrolysis; changes the linking number in multiples of 2.",MF,DNA topoisomerase type II (ATP-hydrolyzing) activity,1,TRINITY_DN39023_c0_g1_i7
GO:0003924,Catalysis of the reaction: GTP + H2O = GDP + phosphate.,MF,GTPase activity,4,"TRINITY_DN30367_c2_g1_i1,TRINITY_DN30376_c1_g2_i10,TRINITY_DN30376_c1_g2_i1,TRINITY_DN30376_c1_g2_i2"
GO:0003934,"Catalysis of the reaction: GTP + H2O = formate + 7,8-dihydroneopterin 3'-triphosphate.",MF,GTP cyclohydrolase I activity,1,TRINITY_DN28328_c5_g1_i1
GO:0003964,Catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1). Catalyzes RNA-template-directed extension of the 3'- end of a DNA strand by one deoxynucleotide at a time.,MF,RNA-directed DNA polymerase activity,4,"TRINITY_DN31468_c4_g7_i1,TRINITY_DN39291_c1_g2_i3,TRINITY_DN33899_c0_g2_i2,TRINITY_DN39709_c5_g1_i1"
GO:0004029,Catalysis of the reaction: an aldehyde + NAD+ + H2O = an acid + NADH + H+.,MF,aldehyde dehydrogenase (NAD) activity,1,TRINITY_DN30952_c0_g1_i3
GO:0004181,"Catalysis of the hydrolysis of C-terminal amino acid residues from a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions.",MF,metallocarboxypeptidase activity,1,TRINITY_DN36424_c5_g2_i1
GO:0004190,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile.",MF,aspartic-type endopeptidase activity,2,"TRINITY_DN31468_c4_g7_i1,TRINITY_DN39709_c5_g1_i1"
GO:0004197,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile.",MF,cysteine-type endopeptidase activity,1,TRINITY_DN37464_c0_g2_i5
GO:0004222,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions.",MF,metalloendopeptidase activity,3,"TRINITY_DN32606_c0_g1_i2,TRINITY_DN35492_c1_g1_i1,TRINITY_DN35492_c1_g1_i4"
GO:0004252,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine).",MF,serine-type endopeptidase activity,2,"TRINITY_DN28067_c10_g1_i1,TRINITY_DN32606_c0_g1_i2"
GO:0004303,Catalysis of the reaction: estradiol-17-beta + NADP+ = estrone + NADPH + H+.,MF,estradiol 17-beta-dehydrogenase activity,1,TRINITY_DN37841_c2_g2_i1
GO:0004346,Catalysis of the reaction: D-glucopyranose 6-phosphate + H2O = D-glucose + phosphate. D-glucopyranose is also known as D-glucose 6-phosphate.,MF,glucose-6-phosphatase activity,1,TRINITY_DN33150_c0_g2_i2
GO:0004415,Catalysis of the random hydrolysis of (1->4) linkages between N-acetyl-beta-D-glucosamine and D-glucuronate residues in hyaluronate.,MF,hyalurononglucosaminidase activity,1,TRINITY_DN25736_c0_g1_i1
GO:0004466,"Catalysis of the reaction: acyl-CoA + ETF = 2,3-dehydroacyl-CoA + reduced ETF.",MF,long-chain-acyl-CoA dehydrogenase activity,2,"TRINITY_DN34342_c2_g3_i7,TRINITY_DN34342_c2_g3_i9"
GO:0004519,Catalysis of the hydrolysis of ester linkages within nucleic acids by creating internal breaks.,MF,endonuclease activity,2,"TRINITY_DN33899_c0_g2_i2,TRINITY_DN39709_c5_g1_i1"
GO:0004523,Catalysis of the endonucleolytic cleavage of RNA in RNA-DNA hybrids to 5'-phosphomonoesters.,MF,RNA-DNA hybrid ribonuclease activity,1,TRINITY_DN31468_c4_g7_i1
GO:0004527,Catalysis of the hydrolysis of ester linkages within nucleic acids by removing nucleotide residues from the 3' or 5' end.,MF,exonuclease activity,1,TRINITY_DN31088_c3_g1_i2
GO:0004601,Catalysis of the reaction: donor + hydrogen peroxide = oxidized donor + 2 H2O.,MF,peroxidase activity,1,TRINITY_DN26161_c0_g1_i2
GO:0004607,Catalysis of the reaction: phosphatidylcholine + a sterol = a sterol ester + 1-acylglycerophosphocholine.,MF,phosphatidylcholine-sterol O-acyltransferase activity,1,TRINITY_DN38424_c5_g1_i3
GO:0004672,"Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.",MF,protein kinase activity,1,TRINITY_DN28381_c5_g2_i12
GO:0004713,Catalysis of the reaction: ATP + a protein tyrosine = ADP + protein tyrosine phosphate.,MF,protein tyrosine kinase activity,1,TRINITY_DN38165_c0_g1_i12
GO:0004842,"Catalysis of the transfer of ubiquitin from one protein to another via the reaction X-Ub + Y --> Y-Ub + X, where both X-Ub and Y-Ub are covalent linkages.",MF,ubiquitin-protein transferase activity,1,TRINITY_DN26144_c2_g1_i8
